"AGE_1","INCOME_1","TIMELAG_1","NUM_GIFTS_1","NUM_PROM_1","AMOUNT_GIFTS_1","AMOUNT_LASTGIFT_1","GIFT_RECENCY_1","PROM_RECENCY_1","ACTION_1","REWARD_1","AGE_2","INCOME_2","TIMELAG_2","NUM_GIFTS_2","NUM_PROM_2","AMOUNT_GIFTS_2","AMOUNT_LASTGIFT_2","GIFT_RECENCY_2","PROM_RECENCY_2","ACTION_2","REWARD_2","AGE_3","INCOME_3","TIMELAG_3","NUM_GIFTS_3","NUM_PROM_3","AMOUNT_GIFTS_3","AMOUNT_LASTGIFT_3","GIFT_RECENCY_3","PROM_RECENCY_3","ACTION_3","REWARD_3","AGE_4","INCOME_4","TIMELAG_4","NUM_GIFTS_4","NUM_PROM_4","AMOUNT_GIFTS_4","AMOUNT_LASTGIFT_4","GIFT_RECENCY_4","PROM_RECENCY_4","ACTION_4","REWARD_4","AGE_5","INCOME_5","TIMELAG_5","NUM_GIFTS_5","NUM_PROM_5","AMOUNT_GIFTS_5","AMOUNT_LASTGIFT_5","GIFT_RECENCY_5","PROM_RECENCY_5","ACTION_5","REWARD_5","AGE_6","INCOME_6","TIMELAG_6","NUM_GIFTS_6","NUM_PROM_6","AMOUNT_GIFTS_6","AMOUNT_LASTGIFT_6","GIFT_RECENCY_6","PROM_RECENCY_6","ACTION_6","REWARD_6","AGE_7","INCOME_7","TIMELAG_7","NUM_GIFTS_7","NUM_PROM_7","AMOUNT_GIFTS_7","AMOUNT_LASTGIFT_7","GIFT_RECENCY_7","PROM_RECENCY_7","ACTION_7","REWARD_7","AGE_8","INCOME_8","TIMELAG_8","NUM_GIFTS_8","NUM_PROM_8","AMOUNT_GIFTS_8","AMOUNT_LASTGIFT_8","GIFT_RECENCY_8","PROM_RECENCY_8","ACTION_8","REWARD_8","AGE_9","INCOME_9","TIMELAG_9","NUM_GIFTS_9","NUM_PROM_9","AMOUNT_GIFTS_9","AMOUNT_LASTGIFT_9","GIFT_RECENCY_9","PROM_RECENCY_9","ACTION_9","REWARD_9","AGE_10","INCOME_10","TIMELAG_10","NUM_GIFTS_10","NUM_PROM_10","AMOUNT_GIFTS_10","AMOUNT_LASTGIFT_10","GIFT_RECENCY_10","PROM_RECENCY_10","ACTION_10","REWARD_10","AGE_11","INCOME_11","TIMELAG_11","NUM_GIFTS_11","NUM_PROM_11","AMOUNT_GIFTS_11","AMOUNT_LASTGIFT_11","GIFT_RECENCY_11","PROM_RECENCY_11","ACTION_11","REWARD_11","AGE_12","INCOME_12","TIMELAG_12","NUM_GIFTS_12","NUM_PROM_12","AMOUNT_GIFTS_12","AMOUNT_LASTGIFT_12","GIFT_RECENCY_12","PROM_RECENCY_12","ACTION_12","REWARD_12","AGE_13","INCOME_13","TIMELAG_13","NUM_GIFTS_13","NUM_PROM_13","AMOUNT_GIFTS_13","AMOUNT_LASTGIFT_13","GIFT_RECENCY_13","PROM_RECENCY_13","ACTION_13","REWARD_13","AGE_14","INCOME_14","TIMELAG_14","NUM_GIFTS_14","NUM_PROM_14","AMOUNT_GIFTS_14","AMOUNT_LASTGIFT_14","GIFT_RECENCY_14","PROM_RECENCY_14","ACTION_14","REWARD_14","AGE_15","INCOME_15","TIMELAG_15","NUM_GIFTS_15","NUM_PROM_15","AMOUNT_GIFTS_15","AMOUNT_LASTGIFT_15","GIFT_RECENCY_15","PROM_RECENCY_15","ACTION_15","REWARD_15","AGE_16","INCOME_16","TIMELAG_16","NUM_GIFTS_16","NUM_PROM_16","AMOUNT_GIFTS_16","AMOUNT_LASTGIFT_16","GIFT_RECENCY_16","PROM_RECENCY_16","ACTION_16","REWARD_16","AGE_17","INCOME_17","TIMELAG_17","NUM_GIFTS_17","NUM_PROM_17","AMOUNT_GIFTS_17","AMOUNT_LASTGIFT_17","GIFT_RECENCY_17","PROM_RECENCY_17","ACTION_17","REWARD_17","AGE_18","INCOME_18","TIMELAG_18","NUM_GIFTS_18","NUM_PROM_18","AMOUNT_GIFTS_18","AMOUNT_LASTGIFT_18","GIFT_RECENCY_18","PROM_RECENCY_18","ACTION_18","REWARD_18","AGE_19","INCOME_19","TIMELAG_19","NUM_GIFTS_19","NUM_PROM_19","AMOUNT_GIFTS_19","AMOUNT_LASTGIFT_19","GIFT_RECENCY_19","PROM_RECENCY_19","ACTION_19","REWARD_19","AGE_20","INCOME_20","TIMELAG_20","NUM_GIFTS_20","NUM_PROM_20","AMOUNT_GIFTS_20","AMOUNT_LASTGIFT_20","GIFT_RECENCY_20","PROM_RECENCY_20","ACTION_20","REWARD_20","AGE_21","INCOME_21","TIMELAG_21","NUM_GIFTS_21","NUM_PROM_21","AMOUNT_GIFTS_21","AMOUNT_LASTGIFT_21","GIFT_RECENCY_21","PROM_RECENCY_21","ACTION_21","REWARD_21","AGE_22","INCOME_22","TIMELAG_22","NUM_GIFTS_22","NUM_PROM_22","AMOUNT_GIFTS_22","AMOUNT_LASTGIFT_22","GIFT_RECENCY_22","PROM_RECENCY_22","ACTION_22","REWARD_22","AGE_23","INCOME_23","TIMELAG_23","NUM_GIFTS_23","NUM_PROM_23","AMOUNT_GIFTS_23","AMOUNT_LASTGIFT_23","GIFT_RECENCY_23","PROM_RECENCY_23","ACTION_23","REWARD_23","AGE_24","INCOME_24","TIMELAG_24","NUM_GIFTS_24","NUM_PROM_24","AMOUNT_GIFTS_24","AMOUNT_LASTGIFT_24","GIFT_RECENCY_24","PROM_RECENCY_24","ACTION_24","REWARD_24","AGE_25","INCOME_25","TIMELAG_25","NUM_GIFTS_25","NUM_PROM_25","AMOUNT_GIFTS_25","AMOUNT_LASTGIFT_25","GIFT_RECENCY_25","PROM_RECENCY_25"
NA,NA,4,4,20,55.0,20.0,3,1,true,2.32,NA,NA,4,5,21,58.0,3.0,0,0,true,-0.68,NA,NA,4,5,22,58.0,3.0,1,0,false,0.0,NA,NA,4,5,22,58.0,3.0,2,1,true,-0.68,NA,NA,4,5,23,58.0,3.0,3,0,true,16.32,NA,NA,4,6,24,75.0,17.0,0,0,false,0.0,NA,NA,4,6,24,75.0,17.0,1,1,true,-0.68,NA,NA,4,6,25,75.0,17.0,2,0,true,-0.68,NA,NA,4,6,26,75.0,17.0,3,0,true,-0.68,NA,NA,4,6,27,75.0,17.0,4,0,true,-0.68,NA,NA,4,6,28,75.0,17.0,5,0,true,-0.68,NA,NA,4,6,29,75.0,17.0,6,0,false,0.0,NA,NA,4,6,29,75.0,17.0,7,1,false,0.0,NA,NA,4,6,29,75.0,17.0,8,2,true,-0.68,NA,NA,4,6,30,75.0,17.0,9,0,true,-0.68,NA,NA,4,6,31,75.0,17.0,10,0,true,19.32,NA,NA,4,7,32,95.0,20.0,0,0,false,0.0,NA,NA,4,7,32,95.0,20.0,1,1,false,0.0,NA,NA,4,7,32,95.0,20.0,2,2,false,0.0,NA,NA,4,7,32,95.0,20.0,3,3,true,-0.68,NA,NA,4,7,33,95.0,20.0,4,0,true,-0.68,NA,NA,4,7,34,95.0,20.0,5,0,false,0.0,NA,NA,4,7,34,95.0,20.0,6,1,false,0.0,NA,NA,4,7,34,95.0,20.0,7,2,true,19.32,NA,NA,4,8,35,115.0,20.0,0,0
79,4,3,19,69,174.0,10.0,0,1,true,-0.68,79,4,3,19,70,174.0,10.0,1,0,true,-0.68,79,4,3,19,71,174.0,10.0,2,0,false,0.0,79,4,3,19,71,174.0,10.0,3,1,true,-0.68,79,4,3,19,72,174.0,10.0,4,0,false,0.0,79,4,3,19,72,174.0,10.0,5,1,true,10.32,79,4,3,20,73,185.0,11.0,0,0,true,-0.68,79,4,3,20,74,185.0,11.0,1,0,true,-0.68,79,4,3,20,75,185.0,11.0,2,0,true,-0.68,79,4,3,20,76,185.0,11.0,3,0,true,-0.68,79,4,3,20,77,185.0,11.0,4,0,false,0.0,79,4,3,20,77,185.0,11.0,5,1,true,-0.68,80,4,3,20,78,185.0,11.0,6,0,true,-0.68,80,4,3,20,79,185.0,11.0,7,0,true,-0.68,80,4,3,20,80,185.0,11.0,8,0,true,-0.68,80,4,3,20,81,185.0,11.0,9,0,true,-0.68,80,4,3,20,82,185.0,11.0,10,0,true,-0.68,80,4,3,20,83,185.0,11.0,11,0,true,-0.68,80,4,3,20,84,185.0,11.0,12,0,true,-0.68,80,4,3,20,85,185.0,11.0,13,0,false,0.0,80,4,3,20,85,185.0,11.0,14,1,true,-0.68,80,4,3,20,86,185.0,11.0,15,0,true,-0.68,80,4,3,20,87,185.0,11.0,16,0,true,-0.68,80,4,3,20,88,185.0,11.0,17,0,true,24.32,81,4,3,21,89,210.0,25.0,0,0
68,4,14,10,49,91.0,15.0,4,0,true,-0.68,68,4,14,10,50,91.0,15.0,5,0,false,0.0,68,4,14,10,50,91.0,15.0,6,1,false,0.0,68,4,14,10,50,91.0,15.0,7,2,true,-0.68,68,4,14,10,51,91.0,15.0,8,0,true,-0.68,68,4,14,10,52,91.0,15.0,9,0,false,0.0,68,4,14,10,52,91.0,15.0,10,1,false,0.0,68,4,14,10,52,91.0,15.0,11,2,false,0.0,68,4,14,10,52,91.0,15.0,12,3,true,-0.68,68,4,14,10,53,91.0,15.0,13,0,false,0.0,68,4,14,10,53,91.0,15.0,14,1,false,0.0,68,4,14,10,53,91.0,15.0,15,2,false,0.0,69,4,14,10,53,91.0,15.0,16,3,true,16.32,69,4,14,11,54,108.0,17.0,0,0,true,-0.68,69,4,14,11,55,108.0,17.0,1,0,false,0.0,69,4,14,11,55,108.0,17.0,2,1,false,0.0,69,4,14,11,55,108.0,17.0,3,2,false,0.0,69,4,14,11,55,108.0,17.0,4,3,true,-0.68,69,4,14,11,56,108.0,17.0,5,0,false,0.0,69,4,14,11,56,108.0,17.0,6,1,true,-0.68,69,4,14,11,57,108.0,17.0,7,0,true,-0.68,69,4,14,11,58,108.0,17.0,8,0,true,24.32,69,4,14,12,59,133.0,25.0,0,0,false,0.0,69,4,14,12,59,133.0,25.0,1,1,false,0.0,70,4,14,12,59,133.0,25.0,2,2
53,5,8,1,12,5.0,5.0,5,1,false,0.0,53,5,8,1,12,5.0,5.0,6,2,true,19.32,53,5,8,2,13,25.0,20.0,0,0,true,-0.68,53,5,8,2,14,25.0,20.0,1,0,false,0.0,53,5,8,2,14,25.0,20.0,2,1,true,24.32,53,5,8,3,15,50.0,25.0,0,0,true,-0.68,53,5,8,3,16,50.0,25.0,1,0,true,4.32,53,5,8,4,17,55.0,5.0,0,0,false,0.0,53,5,8,4,17,55.0,5.0,1,1,true,-0.68,53,5,8,4,18,55.0,5.0,2,0,true,-0.68,53,5,8,4,19,55.0,5.0,3,0,true,-0.68,53,5,8,4,20,55.0,5.0,4,0,true,-0.68,54,5,8,4,21,55.0,5.0,5,0,true,-0.68,54,5,8,4,22,55.0,5.0,6,0,false,0.0,54,5,8,4,22,55.0,5.0,7,1,false,0.0,54,5,8,4,22,55.0,5.0,8,2,true,-0.68,54,5,8,4,23,55.0,5.0,9,0,true,-0.68,54,5,8,4,24,55.0,5.0,10,0,true,-0.68,54,5,8,4,25,55.0,5.0,11,0,true,-0.68,54,5,8,4,26,55.0,5.0,12,0,true,-0.68,54,5,8,4,27,55.0,5.0,13,0,false,0.0,54,5,8,4,27,55.0,5.0,14,1,true,-0.68,54,5,8,4,28,55.0,5.0,15,0,true,-0.68,54,5,8,4,29,55.0,5.0,16,0,false,0.0,55,5,8,4,29,55.0,5.0,17,1
39,7,2,2,20,25.0,15.0,10,2,true,-0.68,39,7,2,2,21,25.0,15.0,11,0,false,0.0,39,7,2,2,21,25.0,15.0,12,1,true,-0.68,39,7,2,2,22,25.0,15.0,13,0,true,-0.68,39,7,2,2,23,25.0,15.0,14,0,false,0.0,39,7,2,2,23,25.0,15.0,15,1,true,-0.68,39,7,2,2,24,25.0,15.0,16,0,true,-0.68,39,7,2,2,25,25.0,15.0,17,0,true,-0.68,39,7,2,2,26,25.0,15.0,18,0,false,0.0,39,7,2,2,26,25.0,15.0,19,1,true,19.32,39,7,2,3,27,45.0,20.0,0,0,true,-0.68,39,7,2,3,28,45.0,20.0,1,0,true,-0.68,40,7,2,3,29,45.0,20.0,2,0,true,-0.68,40,7,2,3,30,45.0,20.0,3,0,true,-0.68,40,7,2,3,31,45.0,20.0,4,0,true,-0.68,40,7,2,3,32,45.0,20.0,5,0,true,24.32,40,7,2,4,33,70.0,25.0,0,0,true,-0.68,40,7,2,4,34,70.0,25.0,1,0,true,-0.68,40,7,2,4,35,70.0,25.0,2,0,true,-0.68,40,7,2,4,36,70.0,25.0,3,0,true,-0.68,40,7,2,4,37,70.0,25.0,4,0,true,14.32,40,7,2,5,38,85.0,15.0,0,0,true,-0.68,40,7,2,5,39,85.0,15.0,1,0,false,0.0,40,7,2,5,39,85.0,15.0,2,1,false,0.0,41,7,2,5,39,85.0,15.0,3,2
NA,NA,3,26,61,238.0,10.0,9,3,true,-0.68,NA,NA,3,26,62,238.0,10.0,10,0,true,-0.68,NA,NA,3,26,63,238.0,10.0,11,0,true,-0.68,NA,NA,3,26,64,238.0,10.0,12,0,false,0.0,NA,NA,3,26,64,238.0,10.0,13,1,true,-0.68,NA,NA,3,26,65,238.0,10.0,14,0,true,-0.68,NA,NA,3,26,66,238.0,10.0,15,0,false,0.0,NA,NA,3,26,66,238.0,10.0,16,1,true,-0.68,NA,NA,3,26,67,238.0,10.0,17,0,false,0.0,NA,NA,3,26,67,238.0,10.0,18,1,false,0.0,NA,NA,3,26,67,238.0,10.0,19,2,true,15.32,NA,NA,3,27,68,254.0,16.0,0,0,true,2.32,NA,NA,3,28,69,257.0,3.0,0,0,true,-0.68,NA,NA,3,28,70,257.0,3.0,1,0,true,-0.68,NA,NA,3,28,71,257.0,3.0,2,0,true,-0.68,NA,NA,3,28,72,257.0,3.0,3,0,false,0.0,NA,NA,3,28,72,257.0,3.0,4,1,true,-0.68,NA,NA,3,28,73,257.0,3.0,5,0,true,9.32,NA,NA,3,29,74,267.0,10.0,0,0,false,0.0,NA,NA,3,29,74,267.0,10.0,1,1,false,0.0,NA,NA,3,29,74,267.0,10.0,2,2,true,-0.68,NA,NA,3,29,75,267.0,10.0,3,0,true,9.32,NA,NA,3,30,76,277.0,10.0,0,0,true,-0.68,NA,NA,3,30,77,277.0,10.0,1,0,true,-0.68,NA,NA,3,30,78,277.0,10.0,2,0
81,2,10,5,36,22.0,7.0,13,1,true,9.32,81,2,10,6,37,32.0,10.0,0,0,false,0.0,81,2,10,6,37,32.0,10.0,1,1,true,9.32,81,2,10,7,38,42.0,10.0,0,0,false,0.0,81,2,10,7,38,42.0,10.0,1,1,true,-0.68,81,2,10,7,39,42.0,10.0,2,0,false,0.0,81,2,10,7,39,42.0,10.0,3,1,true,-0.68,81,2,10,7,40,42.0,10.0,4,0,false,0.0,81,2,10,7,40,42.0,10.0,5,1,true,-0.68,81,2,10,7,41,42.0,10.0,6,0,true,-0.68,81,2,10,7,42,42.0,10.0,7,0,true,64.32,81,2,10,8,43,107.0,65.0,0,0,true,-0.68,82,2,10,8,44,107.0,65.0,1,0,false,0.0,82,2,10,8,44,107.0,65.0,2,1,true,-0.68,82,2,10,8,45,107.0,65.0,3,0,false,0.0,82,2,10,8,45,107.0,65.0,4,1,false,0.0,82,2,10,8,45,107.0,65.0,5,2,false,0.0,82,2,10,8,45,107.0,65.0,6,3,true,-0.68,82,2,10,8,46,107.0,65.0,7,0,true,15.32,82,2,10,9,47,123.0,16.0,0,0,true,-0.68,82,2,10,9,48,123.0,16.0,1,0,false,0.0,82,2,10,9,48,123.0,16.0,2,1,false,0.0,82,2,10,9,48,123.0,16.0,3,2,true,-0.68,82,2,10,9,49,123.0,16.0,4,0,false,0.0,83,2,10,9,49,123.0,16.0,5,1
47,3,NA,0,7,0.0,NA,NA,NA,true,-0.68,47,3,NA,0,8,0.0,NA,NA,0,true,-0.68,47,3,NA,0,9,0.0,NA,NA,0,true,9.32,47,3,NA,1,10,10.0,10.0,0,0,false,0.0,47,3,NA,1,10,10.0,10.0,1,1,false,0.0,47,3,NA,1,10,10.0,10.0,2,2,true,9.32,47,3,NA,2,11,20.0,10.0,0,0,true,-0.68,47,3,NA,2,12,20.0,10.0,1,0,false,0.0,47,3,NA,2,12,20.0,10.0,2,1,false,0.0,47,3,NA,2,12,20.0,10.0,3,2,true,-0.68,47,3,NA,2,13,20.0,10.0,4,0,true,-0.68,47,3,NA,2,14,20.0,10.0,5,0,false,0.0,48,3,NA,2,14,20.0,10.0,6,1,true,-0.68,48,3,NA,2,15,20.0,10.0,7,0,true,-0.68,48,3,NA,2,16,20.0,10.0,8,0,true,11.32,48,3,NA,3,17,32.0,12.0,0,0,false,0.0,48,3,NA,3,17,32.0,12.0,1,1,false,0.0,48,3,NA,3,17,32.0,12.0,2,2,true,4.32,48,3,NA,4,18,37.0,5.0,0,0,false,0.0,48,3,NA,4,18,37.0,5.0,1,1,true,-0.68,48,3,NA,4,19,37.0,5.0,2,0,false,0.0,48,3,NA,4,19,37.0,5.0,3,1,false,0.0,48,3,NA,4,19,37.0,5.0,4,2,false,0.0,48,3,NA,4,19,37.0,5.0,5,3,false,0.0,49,3,NA,4,19,37.0,5.0,6,4
46,4,10,0,7,0.0,NA,NA,NA,true,14.32,46,4,10,1,8,15.0,15.0,0,0,false,0.0,46,4,10,1,8,15.0,15.0,1,1,false,0.0,46,4,10,1,8,15.0,15.0,2,2,false,0.0,46,4,10,1,8,15.0,15.0,3,3,true,14.32,46,4,10,2,9,30.0,15.0,0,0,false,0.0,46,4,10,2,9,30.0,15.0,1,1,true,-0.68,46,4,10,2,10,30.0,15.0,2,0,true,-0.68,46,4,10,2,11,30.0,15.0,3,0,true,14.32,46,4,10,3,12,45.0,15.0,0,0,false,0.0,46,4,10,3,12,45.0,15.0,1,1,false,0.0,46,4,10,3,12,45.0,15.0,2,2,true,-0.68,47,4,10,3,13,45.0,15.0,3,0,true,2.32,47,4,10,4,14,48.0,3.0,0,0,true,-0.68,47,4,10,4,15,48.0,3.0,1,0,true,-0.68,47,4,10,4,16,48.0,3.0,2,0,false,0.0,47,4,10,4,16,48.0,3.0,3,1,true,-0.68,47,4,10,4,17,48.0,3.0,4,0,false,0.0,47,4,10,4,17,48.0,3.0,5,1,true,-0.68,47,4,10,4,18,48.0,3.0,6,0,false,0.0,47,4,10,4,18,48.0,3.0,7,1,true,-0.68,47,4,10,4,19,48.0,3.0,8,0,false,0.0,47,4,10,4,19,48.0,3.0,9,1,true,-0.68,47,4,10,4,20,48.0,3.0,10,0,false,0.0,48,4,10,4,20,48.0,3.0,11,1
32,7,NA,0,6,0.0,NA,NA,NA,true,14.32,32,7,NA,1,7,15.0,15.0,0,0,true,39.32,32,7,NA,2,8,55.0,40.0,0,0,false,0.0,32,7,NA,2,8,55.0,40.0,1,1,false,0.0,32,7,NA,2,8,55.0,40.0,2,2,true,10.32,32,7,NA,3,9,66.0,11.0,0,0,true,-0.68,32,7,NA,3,10,66.0,11.0,1,0,true,-0.68,32,7,NA,3,11,66.0,11.0,2,0,true,-0.68,32,7,NA,3,12,66.0,11.0,3,0,true,-0.68,32,7,NA,3,13,66.0,11.0,4,0,true,28.32,32,7,NA,4,14,95.0,29.0,0,0,true,-0.68,32,7,NA,4,15,95.0,29.0,1,0,true,-0.68,33,7,NA,4,16,95.0,29.0,2,0,true,-0.68,33,7,NA,4,17,95.0,29.0,3,0,true,9.32,33,7,NA,5,18,105.0,10.0,0,0,false,0.0,33,7,NA,5,18,105.0,10.0,1,1,true,-0.68,33,7,NA,5,19,105.0,10.0,2,0,true,9.32,33,7,NA,6,20,115.0,10.0,0,0,true,-0.68,33,7,NA,6,21,115.0,10.0,1,0,false,0.0,33,7,NA,6,21,115.0,10.0,2,1,false,0.0,33,7,NA,6,21,115.0,10.0,3,2,true,9.32,33,7,NA,7,22,125.0,10.0,0,0,true,-0.68,33,7,NA,7,23,125.0,10.0,1,0,false,0.0,33,7,NA,7,23,125.0,10.0,2,1,true,-0.68,34,7,NA,7,24,125.0,10.0,3,0
43,5,13,8,64,102.0,20.0,0,2,false,0.0,43,5,13,8,64,102.0,20.0,1,3,false,0.0,43,5,13,8,64,102.0,20.0,2,4,false,0.0,43,5,13,8,64,102.0,20.0,3,5,false,0.0,43,5,13,8,64,102.0,20.0,4,6,true,-0.68,43,5,13,8,65,102.0,20.0,5,0,true,-0.68,43,5,13,8,66,102.0,20.0,6,0,false,0.0,43,5,13,8,66,102.0,20.0,7,1,true,-0.68,43,5,13,8,67,102.0,20.0,8,0,true,-0.68,43,5,13,8,68,102.0,20.0,9,0,true,-0.68,43,5,13,8,69,102.0,20.0,10,0,true,-0.68,43,5,13,8,70,102.0,20.0,11,0,true,-0.68,44,5,13,8,71,102.0,20.0,12,0,true,-0.68,44,5,13,8,72,102.0,20.0,13,0,true,-0.68,44,5,13,8,73,102.0,20.0,14,0,true,-0.68,44,5,13,8,74,102.0,20.0,15,0,true,-0.68,44,5,13,8,75,102.0,20.0,16,0,false,0.0,44,5,13,8,75,102.0,20.0,17,1,false,0.0,44,5,13,8,75,102.0,20.0,18,2,false,0.0,44,5,13,8,75,102.0,20.0,19,3,true,-0.68,44,5,13,8,76,102.0,20.0,20,0,true,-0.68,44,5,13,8,77,102.0,20.0,21,0,false,0.0,44,5,13,8,77,102.0,20.0,22,1,true,-0.68,44,5,13,8,78,102.0,20.0,23,0,false,0.0,45,5,13,8,78,102.0,20.0,24,1
NA,NA,2,19,43,122.0,7.0,1,1,false,0.0,NA,NA,2,19,43,122.0,7.0,2,2,true,-0.68,NA,NA,2,19,44,122.0,7.0,3,0,true,-0.68,NA,NA,2,19,45,122.0,7.0,4,0,false,0.0,NA,NA,2,19,45,122.0,7.0,5,1,true,-0.68,NA,NA,2,19,46,122.0,7.0,6,0,true,-0.68,NA,NA,2,19,47,122.0,7.0,7,0,false,0.0,NA,NA,2,19,47,122.0,7.0,8,1,false,0.0,NA,NA,2,19,47,122.0,7.0,9,2,false,0.0,NA,NA,2,19,47,122.0,7.0,10,3,false,0.0,NA,NA,2,19,47,122.0,7.0,11,4,true,12.32,NA,NA,2,20,48,135.0,13.0,0,0,true,-0.68,NA,NA,2,20,49,135.0,13.0,1,0,false,0.0,NA,NA,2,20,49,135.0,13.0,2,1,true,-0.68,NA,NA,2,20,50,135.0,13.0,3,0,true,-0.68,NA,NA,2,20,51,135.0,13.0,4,0,true,-0.68,NA,NA,2,20,52,135.0,13.0,5,0,true,14.32,NA,NA,2,21,53,150.0,15.0,0,0,false,0.0,NA,NA,2,21,53,150.0,15.0,1,1,true,13.32,NA,NA,2,22,54,164.0,14.0,0,0,true,-0.68,NA,NA,2,22,55,164.0,14.0,1,0,true,-0.68,NA,NA,2,22,56,164.0,14.0,2,0,true,-0.68,NA,NA,2,22,57,164.0,14.0,3,0,false,0.0,NA,NA,2,22,57,164.0,14.0,4,1,true,14.32,NA,NA,2,23,58,179.0,15.0,0,0
NA,NA,4,11,40,122.0,NA,NA,NA,true,-0.68,NA,NA,4,11,41,122.0,NA,NA,0,false,0.0,NA,NA,4,11,41,122.0,NA,NA,1,false,0.0,NA,NA,4,11,41,122.0,NA,NA,2,false,0.0,NA,NA,4,11,41,122.0,NA,NA,3,false,0.0,NA,NA,4,11,41,122.0,NA,NA,4,true,24.32,NA,NA,4,12,42,147.0,25.0,0,0,false,0.0,NA,NA,4,12,42,147.0,25.0,1,1,false,0.0,NA,NA,4,12,42,147.0,25.0,2,2,false,0.0,NA,NA,4,12,42,147.0,25.0,3,3,true,-0.68,NA,NA,4,12,43,147.0,25.0,4,0,false,0.0,NA,NA,4,12,43,147.0,25.0,5,1,false,0.0,NA,NA,4,12,43,147.0,25.0,6,2,true,6.32,NA,NA,4,13,44,154.0,7.0,0,0,true,-0.68,NA,NA,4,13,45,154.0,7.0,1,0,false,0.0,NA,NA,4,13,45,154.0,7.0,2,1,true,-0.68,NA,NA,4,13,46,154.0,7.0,3,0,true,-0.68,NA,NA,4,13,47,154.0,7.0,4,0,true,-0.68,NA,NA,4,13,48,154.0,7.0,5,0,false,0.0,NA,NA,4,13,48,154.0,7.0,6,1,true,-0.68,NA,NA,4,13,49,154.0,7.0,7,0,false,0.0,NA,NA,4,13,49,154.0,7.0,8,1,false,0.0,NA,NA,4,13,49,154.0,7.0,9,2,true,-0.68,NA,NA,4,13,50,154.0,7.0,10,0,true,-0.68,NA,NA,4,13,51,154.0,7.0,11,0
34,4,4,3,18,28.0,11.0,1,1,true,7.32,34,4,4,4,19,36.0,8.0,0,0,true,-0.68,34,4,4,4,20,36.0,8.0,1,0,true,-0.68,34,4,4,4,21,36.0,8.0,2,0,true,-0.68,34,4,4,4,22,36.0,8.0,3,0,true,-0.68,34,4,4,4,23,36.0,8.0,4,0,true,-0.68,34,4,4,4,24,36.0,8.0,5,0,false,0.0,34,4,4,4,24,36.0,8.0,6,1,false,0.0,34,4,4,4,24,36.0,8.0,7,2,true,-0.68,34,4,4,4,25,36.0,8.0,8,0,true,17.32,34,4,4,5,26,54.0,18.0,0,0,true,4.32,34,4,4,6,27,59.0,5.0,0,0,false,0.0,35,4,4,6,27,59.0,5.0,1,1,false,0.0,35,4,4,6,27,59.0,5.0,2,2,true,4.32,35,4,4,7,28,64.0,5.0,0,0,true,-0.68,35,4,4,7,29,64.0,5.0,1,0,false,0.0,35,4,4,7,29,64.0,5.0,2,1,true,-0.68,35,4,4,7,30,64.0,5.0,3,0,false,0.0,35,4,4,7,30,64.0,5.0,4,1,false,0.0,35,4,4,7,30,64.0,5.0,5,2,true,-0.68,35,4,4,7,31,64.0,5.0,6,0,true,-0.68,35,4,4,7,32,64.0,5.0,7,0,true,-0.68,35,4,4,7,33,64.0,5.0,8,0,true,-0.68,35,4,4,7,34,64.0,5.0,9,0,true,17.32,36,4,4,8,35,82.0,18.0,0,0
51,6,8,19,67,249.0,19.0,3,1,false,0.0,51,6,8,19,67,249.0,19.0,4,2,true,-0.68,51,6,8,19,68,249.0,19.0,5,0,false,0.0,51,6,8,19,68,249.0,19.0,6,1,true,19.32,51,6,8,20,69,269.0,20.0,0,0,true,9.32,51,6,8,21,70,279.0,10.0,0,0,false,0.0,51,6,8,21,70,279.0,10.0,1,1,true,14.32,51,6,8,22,71,294.0,15.0,0,0,false,0.0,51,6,8,22,71,294.0,15.0,1,1,false,0.0,51,6,8,22,71,294.0,15.0,2,2,true,-0.68,51,6,8,22,72,294.0,15.0,3,0,false,0.0,51,6,8,22,72,294.0,15.0,4,1,false,0.0,52,6,8,22,72,294.0,15.0,5,2,true,-0.68,52,6,8,22,73,294.0,15.0,6,0,true,-0.68,52,6,8,22,74,294.0,15.0,7,0,false,0.0,52,6,8,22,74,294.0,15.0,8,1,false,0.0,52,6,8,22,74,294.0,15.0,9,2,true,-0.68,52,6,8,22,75,294.0,15.0,10,0,true,4.32,52,6,8,23,76,299.0,5.0,0,0,false,0.0,52,6,8,23,76,299.0,5.0,1,1,false,0.0,52,6,8,23,76,299.0,5.0,2,2,false,0.0,52,6,8,23,76,299.0,5.0,3,3,false,0.0,52,6,8,23,76,299.0,5.0,4,4,true,9.32,52,6,8,24,77,309.0,10.0,0,0,true,-0.68,53,6,8,24,78,309.0,10.0,1,0
